FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Vankova v A Mueller,1290,146736.68,161064.2738,27146.1512,06-09-2014 16:28:13,,
Group A/Coupe Banque Nationale 2014/Qualifying Matches/Vankova v Martincova,4840,290811.38,293902.1632,179857.0262,07-09-2014 17:03:54,,
Group A/Genova Challenger 2014/First Round Matches/And Beck v Gaio,1169,167650.92,177114.4234,22261.564,03-09-2014 13:51:12,,
Group A/Genova Challenger 2014/First Round Matches/Arnaboldi v Al Bedene,2344,173164.42,202588.2742,87804.5654,02-09-2014 12:02:30,,
Group A/Genova Challenger 2014/First Round Matches/Cecchinato v Basilashvili,928,98515.76,104276.77620000001,20127.922,03-09-2014 14:59:37,,
Group A/Genova Challenger 2014/First Round Matches/Dzumhur v Kovalik,1092,72339.48,74428.3266,21149.1852,03-09-2014 12:11:07,,
Group A/Genova Challenger 2014/First Round Matches/Galovic v M Delic,1625,94316.6,109339.8546,48818.8438,03-09-2014 10:46:09,,
Group A/Genova Challenger 2014/First Round Matches/Giannessi v Andreozzi,379,21643.5,22479.413,9719.666,02-09-2014 11:01:01,,
Group A/Genova Challenger 2014/First Round Matches/Hajek v Mager,797,32220.12,37567.5296,7142.7858,02-09-2014 20:43:33,,
Group A/Genova Challenger 2014/First Round Matches/Ignatik v Volandri,3667,247796.86,284738.3876,72097.661,02-09-2014 15:14:39,,
Group A/Genova Challenger 2014/First Round Matches/Kubler v G Elias,940,52223.68,54852.9386,24201.9674,02-09-2014 11:14:50,,
Group A/Genova Challenger 2014/First Round Matches/Mat Trevisan v Naso,5571,366264.43,306449.7754,289309.7868,03-09-2014 16:52:30,,
Group A/Genova Challenger 2014/First Round Matches/Montanes v Fucsovics,2509,163659.5,173187.733,85394.375,03-09-2014 10:33:55,,
Group A/Genova Challenger 2014/First Round Matches/P Sousa v Paire,588,84820.28,87038.6574,116567.608,03-09-2014 17:29:43,,
Group A/Genova Challenger 2014/First Round Matches/Ramos-Vinolas v Ad Virgili,3287,229633.30000000002,271583.4152,53656.762,03-09-2014 13:31:46,,
Group A/Genova Challenger 2014/First Round Matches/Setkic v Picco,1696,73379.24,81348.78020000001,27206.6284,02-09-2014 13:28:33,,
Group A/Genova Challenger 2014/First Round Matches/Starace v Lindell,1777,81461.14,65379.8476,59509.0926,03-09-2014 16:29:33,,
Group A/Genova Challenger 2014/First Round Matches/Troicki v Du Brown,3861,298522.26,321611.3114,154372.632,03-09-2014 19:56:47,,
Group A/Genova Challenger 2014/Quarter Final Matches/And Beck v Cecchinato,3302,282298.53,326654.0684,60459.8486,05-09-2014 13:30:47,,
Group A/Genova Challenger 2014/Quarter Final Matches/Fucsovics v Kubler,8409,669502.83,654906.3601,413881.7898,05-09-2014 16:25:39,,
Group A/Genova Challenger 2014/Quarter Final Matches/M Delic v Troicki,8829,681547.54,413021.11,712616.6338000001,05-09-2014 19:00:53,,
Group A/Genova Challenger 2014/Quarter Final Matches/Ramos-Vinolas v Al Bedene,2437,233288.8,265217.8738,228007.5658,05-09-2014 20:36:22,,
