FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Group A/Genova Challenger 2014/Semi Final Matches/Ramos-Vinolas v Fucsovics,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
Group A/Genova Challenger 2014/The Final/Ramos-Vinolas v M Delic,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
Group A/Hong Kong Open 2014/Qualifying Matches/Aoyama v Eguchi,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Group A/Hong Kong Open 2014/Qualifying Matches/Ar Rodionova v Eguchi,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
Group A/Hong Kong Open 2014/Qualifying Matches/Ar Rodionova v Yau Ng,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Group A/Hong Kong Open 2014/Qualifying Matches/Czink v Bychkova,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
Group A/Hong Kong Open 2014/Qualifying Matches/Gajdosova v Ho Wu,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Group A/Hong Kong Open 2014/Qualifying Matches/Gajdosova v Y Sema,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Group A/Hong Kong Open 2014/Qualifying Matches/Gibbs v Olaru,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247
Group A/Hong Kong Open 2014/Qualifying Matches/Imanishi v E Sema,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
Group A/Hong Kong Open 2014/Qualifying Matches/K Zhang v Shapatava,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
Group A/Hong Kong Open 2014/Qualifying Matches/Kostova v Linette,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
Group A/Hong Kong Open 2014/Qualifying Matches/Kulichkova v E Sema,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
Group A/Hong Kong Open 2014/Qualifying Matches/Martic v Namigata,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278
Group A/Hong Kong Open 2014/Qualifying Matches/Namigata v N Kolar,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Group A/Hong Kong Open 2014/Qualifying Matches/Olaru v L Zhu,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
Group A/Hong Kong Open 2014/Qualifying Matches/Paszek v K Zhang,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Group A/Hong Kong Open 2014/Qualifying Matches/Paszek v W Hsu,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
Group A/Hong Kong Open 2014/Qualifying Matches/Pavlovic v Y Xu,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
Group A/Hong Kong Open 2014/Qualifying Matches/Q Wang v Kulichkova,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
Group A/Hong Kong Open 2014/Qualifying Matches/Sh Hsieh v Ho Wu,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
Group A/Hong Kong Open 2014/Qualifying Matches/Spackman v N Kolar,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Group A/Hong Kong Open 2014/Qualifying Matches/Webley-Smith v Kostova,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
Group A/Hong Kong Open 2014/Qualifying Matches/X Han v Linette,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
Group A/Hong Kong Open 2014/Qualifying Matches/Y Xu v Bychkova,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
Group A/Hong Kong Open 2014/Qualifying Matches/Yaf Wang v L Zhu,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
Group A/Medellin Challenger 2014/First Round Matches/Alejandro Gonzalez v Sant'anna,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
Group A/Medellin Challenger 2014/First Round Matches/Angelinos v F De Paula,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
Group A/Medellin Challenger 2014/First Round Matches/Clezar v R Olivo,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
Group A/Medellin Challenger 2014/First Round Matches/D Novikov v G Mina,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
Group A/Medellin Challenger 2014/First Round Matches/G Pella v M Arevalo,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372
Group A/Medellin Challenger 2014/First Round Matches/Ghem v Romboli,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Group A/Medellin Challenger 2014/First Round Matches/Jarry v Odesnik,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
Group A/Medellin Challenger 2014/First Round Matches/Konstantinov v A Krajicek,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Group A/Medellin Challenger 2014/First Round Matches/Lama v Kev King,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
Group A/Medellin Challenger 2014/First Round Matches/Lapentti v N Barrientos,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449
Group A/Medellin Challenger 2014/First Round Matches/M Cuevas v Lipovsek Puches,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
Group A/Medellin Challenger 2014/First Round Matches/Molteni v Souza,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
Group A/Medellin Challenger 2014/First Round Matches/Quintero v Bagnis,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Group A/Medellin Challenger 2014/First Round Matches/Salamanca v Spir,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Group A/Medellin Challenger 2014/First Round Matches/Trungelliti v Dellien,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Group A/Medellin Challenger 2014/First Round Matches/Turini v J Hernandez,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
Group A/Medellin Challenger 2014/Quarter Final Matches/Alejandro Gonzalez v A Krajicek,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504
Group A/Medellin Challenger 2014/Quarter Final Matches/Clezar v Souza,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
Group A/Medellin Challenger 2014/Quarter Final Matches/Lama v Bagnis,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
Group A/Medellin Challenger 2014/Second Round Matches/Alejandro Gonzalez v F De Paula,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
Group A/Medellin Challenger 2014/Second Round Matches/Clezar v Lipovsek Puches,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Group A/Medellin Challenger 2014/Second Round Matches/Ghem v Odesnik,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
Group A/Medellin Challenger 2014/Second Round Matches/J Hernandez v Souza,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
Group A/Medellin Challenger 2014/Second Round Matches/Lama v G Mina,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
Group A/Medellin Challenger 2014/Second Round Matches/Lapentti v A Krajicek,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Group A/Medellin Challenger 2014/Second Round Matches/M Arevalo v Salamanca,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259
Group A/Medellin Challenger 2014/Second Round Matches/Trungelliti v Bagnis,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337
Group A/Medellin Challenger 2014/Semi Final Matches/A Krajicek v Ghem,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
Group A/Medellin Challenger 2014/Semi Final Matches/Souza v Bagnis,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418
