SPORTS_ID,FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY,LATITUDE,LONGITUDE,TEMPERATURE,RAIN
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Mexico v Australia,2021,143144.85,147856.2632,145079.6376,3/9/14 13:28,Spain, Madrid,40.4167047,-3.7035825,31.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/New Zealand v Ukraine,2792,220547.72,227661.8798,159475.3904,3/9/14 14:47,Spain, Madrid,40.4167047,-3.7035825,32.9,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Philippines v Puerto Rico,4244,375460.76,335394.8782,579404.8326,3/9/14 13:27,Spain, Madrid,40.4167047,-3.7035825,31.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Senegal v Argentina,1071,143674.2,152367.3006,25981.4328,3/9/14 17:26,Spain, Madrid,40.4167047,-3.7035825,32.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Serbia v Brazil,3340,249485.52,248777.6282,138377.9848,3/9/14 18:11,Spain, Madrid,40.4167047,-3.7035825,31.6,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Slovenia v Angola,2422,169504.22,189343.336,58105.6836,3/9/14 17:27,Spain, Madrid,40.4167047,-3.7035825,32.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Spain v France,2636,243342.7,261384.3607,83068.32,3/9/14 20:46,Spain, Madrid,40.4167047,-3.7035825,27.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 03 September/Turkey v Finland,6944,689065.11,479767.0246,603965.8702,3/9/14 17:43,Spain, Madrid,40.4167047,-3.7035825,31.6,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 04 September/Argentina v Greece,3974,303687.77,315797.0527,188708.4686,4/9/14 21:42,Spain, Madrid,40.4167047,-3.7035825,25.5,0
Basketball,FIBA Basketball World Cup 2014/Fixtures 04 September/Australia v Angola,4279,421505.48,248474.687,381486.346,4/9/14 13:30,Spain, Madrid,40.4167047,-3.7035825,31.3,0
